form	POS	lemma	POSUD	ud-feats
avoec	PRE	avuec	ADP	_
Tentalu	NOMpro	Tentale	PROPN	_
en	PRE	en1	ADP	_
enfer	NOMcom	enfer	NOUN	_
le	DETdef	le	DET	PronType=Art|Definite=Def
jalu	NOMcom	jalos	NOUN	_
ne	ADVneg	ne1	ADV	PronType=Neg
praingne	VERcjg	prendre	VERB	VerbForm=Fin
m	DETpos	mon1	DET	Poss=Yes
’	PONfbl	’	PUNCT	_
erite	NOMcom	erite	NOUN	_
.	PONfrt	.	PUNCT	_
En	PRE	en1	ADP	_
enfer	NOMcom	enfer	NOUN	_
ert	VERcjg	estre1	VERB	VerbForm=Fin
offerte	VERppe	ofrir	VERB	VerbForm=Part|Tense=Past
dont	PROrel	dont	PRON	PronType=Rel
la	DETdef	le	DET	PronType=Art|Definite=Def
porte	NOMcom	porte1	NOUN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
ouverte	VERppe	ovrir	VERB	VerbForm=Part|Tense=Past
m	DETpos	mon1	DET	Poss=Yes
’	PONfbl	’	PUNCT	_
ame	NOMcom	ame	NOUN	_
par	PRE	par	ADP	_
mon	DETpos	mon1	DET	Poss=Yes
outrage	NOMcom	outrage	NOUN	_
:	PONfbl	:	PUNCT	_
ci	ADVgen	ci	ADV	_
aura	VERcjg	avoir	VERB	VerbForm=Fin
dure	ADJqua	dur	ADJ	_
perte	NOMcom	perte	NOUN	_
et	CONcoo	et	CCONJ	_
grant	ADJqua	grant	ADJ	_
folie	NOMcom	folie2	NOUN	_
aperte	ADJqua	apert1	ADJ	_
se	CONsub	se	SCONJ	_
là	ADVgen	là	ADV	_
praing	VERcjg	prendre	VERB	VerbForm=Fin
herbregage	NOMcom	herberjage	NOUN	_
.	PONfrt	.	PUNCT	_
Dame	NOMcom	dame	NOUN	_
,	PONfbl	,	PUNCT	_
or	ADVgen	or4	ADV	_
te	PROper	tu	PRON	PronType=Prs
faz	VERcjg	faire	VERB	VerbForm=Fin
hommage	NOMcom	omage	NOUN	_
:	PONfbl	:	PUNCT	_
torne	VERcjg	torner	VERB	VerbForm=Fin
ton	DETpos	ton4	DET	Poss=Yes
douz	ADJqua	douz	ADJ	_
visage	NOMcom	visage	NOUN	_
;	PONfbl	;	PUNCT	_
por	PRE	por2	ADP	_
ma	DETpos	mon1	DET	Poss=Yes
dure	ADJqua	dur	ADJ	_
déserte	NOMcom	deserte2	NOUN	_
el	PRE.DETdef	en1+le	ADP.DET	_.PronType=Art|Definite=Yes
non	NOMcom	nom	NOUN	_
ton	DETpos	ton4	DET	Poss=Yes
filz	NOMcom	fil2	NOUN	_
,	PONfbl	,	PUNCT	_
le	PROper	il	PRON	PronType=Prs
sage	ADJqua	sage	ADJ	_
ne	CONcoo	ne2	CCONJ	_
souffrir	VERinf	sofrir	VERB	VerbForm=Inf
que	CONsub	que4	SCONJ	_
mi	DETpos	mon1	DET	Poss=Yes
gage	NOMcom	gage	NOUN	_
voisent	VERcjg	aler	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
tel	DETind	tel	DET	PronType=Ind
poverté	NOMcom	povreté	NOUN	_
.	PONfrt	.	PUNCT	_
Si	ADVgen	si	ADV	_
comme	CONsub	come1	SCONJ	_
en	PRE	en1	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
verriere	NOMcom	verriere	NOUN	_
entre	VERcjg	entrer	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
reva	VERcjg	raler	VERB	VerbForm=Fin
arriere	ADVgen	ariere	ADV	_
li	DETdef	le	DET	PronType=Art|Definite=Def
solaus	NOMcom	soleil	NOUN	_
que	CONsub	que4	SCONJ	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
entame	VERcjg	entamer	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
ainsinc	ADVgen	ainsi	ADV	_
fus	VERcjg	estre1	VERB	VerbForm=Fin
virge	ADJqua	virge	ADJ	_
entiere	ADJqua	entier	ADJ	_
quant	CONsub	cant1	SCONJ	_
Diex	NOMpro	Dieu	PROPN	_
,	PONfbl	,	PUNCT	_
qui	PROrel	qui	PRON	PronType=Rel
es	PRE.DETdef	en1+le	ADP.DET	_.PronType=Art|Definite=Yes
ciex	NOMcom	ciel	NOUN	_
iere	VERcjg	estre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
fist	VERcjg	faire	VERB	VerbForm=Fin
de	PRE	de	ADP	_
toi	PROper	tu	PRON	PronType=Prs
mere	NOMcom	mere	NOUN	_
et	CONcoo	et	CCONJ	_
dame	NOMcom	dame	NOUN	_
.	PONfrt	.	PUNCT	_
Ha	INJ	ha!	INTJ	_
!	PONfrt	!	PUNCT	_
resplendissant	VERppa	resplendir	VERB	VerbForm=Part|Tense=Pres
jame	NOMcom	geme	NOUN	_
,	PONfbl	,	PUNCT	_
tendre	ADJqua	tendre2	ADJ	_
et	CONcoo	et	CCONJ	_
piteuse	ADJqua	pitos	ADJ	_
fame	NOMcom	feme	NOUN	_
,	PONfbl	,	PUNCT	_
car	ADVgen	car	ADV	_
entent	VERcjg	entendre	VERB	VerbForm=Fin
ma	DETpos	mon1	DET	Poss=Yes
proiere	NOMcom	priiere	NOUN	_
,	PONfbl	,	PUNCT	_
que	CONsub	que4	SCONJ	_
mon	DETpos	mon1	DET	Poss=Yes
vil	ADJqua	vil1	ADJ	_
cors	NOMcom	cors1	NOUN	_
et	CONcoo	et	CCONJ	_
m	DETpos	mon1	DET	Poss=Yes
’	PONfbl	’	PUNCT	_
ame	NOMcom	ame	NOUN	_
de	PRE	de	ADP	_
pardurable	ADJqua	pardurable	ADJ	_
flame	NOMcom	flambe	NOUN	_
rapelaisses	VERcjg	rapeler	VERB	VerbForm=Fin
arriere	ADVgen	ariere	ADV	_
.	PONfrt	.	PUNCT	_
Roine	NOMcom	röine1	NOUN	_
debonaire	ADJqua	debonaire	ADJ	_
,	PONfbl	,	PUNCT	_
les	DETdef	le	DET	PronType=Art|Definite=Def
iex	NOMcom	ueil	NOUN	_
du	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
cuer	NOMcom	cuer2	NOUN	_
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
esclaire	VERcjg	esclairier	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
obscurté	NOMcom	oscurté	NOUN	_
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
esface	VERcjg	esfacier	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
si	ADVgen	si	ADV	_
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
à	PRE	a3	ADP	_
toi	PROper	tu	PRON	PronType=Prs
puisse	VERcjg	pöoir	VERB	VerbForm=Fin
plaire	VERinf	plaire	VERB	VerbForm=Inf
et	CONcoo	et	CCONJ	_
ta	DETpos	ton4	DET	Poss=Yes
volente	NOMcom	volenté	NOUN	_
faire	VERinf	faire	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
car	ADVgen	car	ADV	_
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
done	VERcjg	doner	VERB	VerbForm=Fin
la	DETdef	le	DET	PronType=Art|Definite=Def
grace	NOMcom	grace	NOUN	_
.	PONfrt	.	PUNCT	_
vescu	VERppe	vivre1	VERB	VerbForm=Part|Tense=Past
en	PRE	en1	ADP	_
grant	ADJqua	grant	ADJ	_
continence	NOMcom	continence	NOUN	_
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
de	PRE	de	ADP	_
tant	ADVgen	tant	ADV	_
comme	CONsub	come1	SCONJ	_
je	PROper	je	PRON	PronType=Prs
avoye	VERcjg	avoir	VERB	VerbForm=Fin
plus	ADVgen	plus	ADV	_
prouffité	VERppe	porfit(i)er	VERB	VerbForm=Part|Tense=Past
en	PRE	en1	ADP	_
philosophie	NOMcom	filosofie	NOUN	_
et	CONcoo	et	CCONJ	_
en	PRE	en1	ADP	_
theologie	NOMcom	teologie	NOUN	_
,	PONfbl	,	PUNCT	_
de	PRE	de	ADP	_
tant	ADVgen	tant	ADV	_
me	PROper	je	PRON	PronType=Prs
esloignaye	VERcjg	esloignier	VERB	VerbForm=Fin
plus	ADVgen	plus	ADV	_
des	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
philosophes	NOMcom	filosofe	NOUN	_
et	CONcoo	et	CCONJ	_
des	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
services	NOMcom	servise	NOUN	_
divins	ADJqua	devin1	ADJ	_
par	PRE	par	ADP	_
ordure	NOMcom	ordure	NOUN	_
de	PRE	de	ADP	_
vie	NOMcom	vie1	NOUN	_
,	PONfbl	,	PUNCT	_
car	CONcoo	car	CCONJ	_
bien	ADVgen	bien1	ADV	_
certaine	ADJqua	certain	ADJ	_
chose	NOMcom	chose	NOUN	_
que	CONsub	que4	SCONJ	_
li	DETdef	le	DET	PronType=Art|Definite=Def
philosophe	NOMcom	filosofe	NOUN	_
qui	PROrel	qui	PRON	PronType=Rel
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
estoient	VERcjg	estre1	VERB	VerbForm=Fin
devin	ADJqua	devin1	ADJ	_
,	PONfbl	,	PUNCT	_
ne	CONcoo	ne2	CCONJ	_
entendans	VERppa	entendre	VERB	VerbForm=Part|Tense=Pres
neis	ADVgen	nëis	ADV	_
aus	PRE.DETdef	a3+le	ADP.DET	_.PronType=Art|Definite=Yes
amonestemens	NOMcom	amonestement	NOUN	_
de	PRE	de	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
sainte	ADJqua	saint	ADJ	_
lecon	NOMcom	leçon	NOUN	_
,	PONfbl	,	PUNCT	_
resplendirent	VERcjg	resplendir	VERB	VerbForm=Fin
sur	PRE	sor2	ADP	_
touz	DETind	tot	DET	PronType=Ind
autres	PROind	autre	PRON	PronType=Ind
de	PRE	de	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
beauté	NOMcom	biauté	NOUN	_
de	PRE	de	ADP	_
continence	NOMcom	continence	NOUN	_
.	PONfrt	.	PUNCT	_
Comme	CONsub	come1	SCONJ	_
je	PROper	je	PRON	PronType=Prs
travaillasse	VERcjg	travaillier	VERB	VerbForm=Fin
adonc	ADVgen	adonc	ADV	_
touz	ADVgen	tot	ADV	_
en	PRE	en1	ADP	_
orgueil	NOMcom	orgueil	NOUN	_
et	CONcoo	et	CCONJ	_
en	PRE	en1	ADP	_
luxure	NOMcom	luxure	NOUN	_
,	PONfbl	,	PUNCT	_
la	DETdef	le	DET	PronType=Art|Definite=Def
grace	NOMcom	grace	NOUN	_
de	PRE	de	ADP	_
Dieu	NOMpro	Dieu	PROPN	_
me	PROper	je	PRON	PronType=Prs
donna	VERcjg	doner	VERB	VerbForm=Fin
neis	ADVgen	nëis	ADV	_
maugré	PRE	maugré	ADP	_
mien	DETpos	mien	DET	Poss=Yes
remede	NOMcom	remede	NOUN	_
de	PRE	de	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
une	ADJcar	un	ADJ	NumType=Card
et	CONcoo	et	CCONJ	_
de	PRE	de	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
autre	ADJind	autre	ADJ	PronType=Ind
maladie	NOMcom	maladie	NOUN	_
;	PONfbl	;	PUNCT	_
li	PROper	il	PRON	PronType=Prs
fist	VERcjg	faire	VERB	VerbForm=Fin
tailler	VERinf	taillier1	VERB	VerbForm=Inf
robes	NOMcom	robe	NOUN	_
de	PRE	de	ADP	_
religion	NOMcom	religïon	NOUN	_
couvenables	ADJqua	covenable	ADJ	_
à	PRE	a3	ADP	_
conversacion	NOMcom	conversacïon	NOUN	_
de	PRE	de	ADP	_
nonnain	NOMcom	none1	NOUN	_
sans	PRE	sans	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
voille	NOMcom	voile2	NOUN	_
et	CONcoo	et	CCONJ	_
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
fist	VERcjg	faire	VERB	VerbForm=Fin
vestir	VERinf	vestir	VERB	VerbForm=Inf
.	PONfrt	.	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
ses	DETpos	son4	DET	Poss=Yes
oncles	NOMcom	oncle	NOUN	_
et	CONcoo	et	CCONJ	_
si	DETpos	son4	DET	Poss=Yes
cousin	NOMcom	cosin	NOUN	_
et	CONcoo	et	CCONJ	_
si	DETpos	son4	DET	Poss=Yes
prochain	ADJqua	prochain	ADJ	_
ami	NOMcom	ami	NOUN	_
oirent	VERcjg	öir	VERB	VerbForm=Fin
ceste	DETdem	cest	DET	PronType=Dem
chose	NOMcom	chose	NOUN	_
,	PONfbl	,	PUNCT	_
ilz	PROper	il	PRON	PronType=Prs
cuidierent	VERcjg	cuidier1	VERB	VerbForm=Fin
lors	ADVgen	lors	ADV	_
que	CONsub	que4	SCONJ	_
je	PROper	je	PRON	PronType=Prs
les	PROper	il	PRON	PronType=Prs
eusse	VERcjg	avoir	VERB	VerbForm=Fin
de	PRE	de	ADP	_
moult	ADVgen	mout	ADV	_
escharniz	VERppe	escharnir	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
fait	VERppe	faire	VERB	VerbForm=Part|Tense=Past
grant	ADJqua	grant	ADJ	_
despit	NOMcom	despit	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
que	CONsub	que4	SCONJ	_
je	PROper	je	PRON	PronType=Prs
me	PROper	je	PRON	PronType=Prs
voulsisse	VERcjg	voloir	VERB	VerbForm=Fin
ainsi	ADVgen	ainsi	ADV	_
delivrer	VERinf	delivrer	VERB	VerbForm=Inf
de	PRE	de	ADP	_
Heloys	NOMpro	Eloïse	PROPN	_
pour	PRE	por2	ADP	_
li	PROper	il	PRON	PronType=Prs
faire	VERinf	faire	VERB	VerbForm=Inf
nonnain	NOMcom	none1	NOUN	_
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
desveement	ADVgen	desveement	ADV	_
en	PROadv	en2	ADV	_
furent	VERcjg	estre1	VERB	VerbForm=Fin
desdaigneus	ADJqua	desdeignos	ADJ	_
et	CONcoo	et	CCONJ	_
se	PROper	soi1	PRON	PronType=Prs
conjurerent	VERcjg	conjurer	VERB	VerbForm=Fin
encontre	PRE	encontre1	ADP	_
moi	PROper	je	PRON	PronType=Prs
.	PONfrt	.	PUNCT	_
Une	DETndf	un	DET	PronType=Art|Definite=Ind
nuit	NOMcom	nuit	NOUN	_
,	PONfbl	,	PUNCT	_
quant	CONsub	cant1	SCONJ	_
je	PROper	je	PRON	PronType=Prs
me	PROper	je	PRON	PronType=Prs
dormoie	VERcjg	dormir	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
resposoie	VERcjg	resposer	VERB	VerbForm=Fin
en	PRE	en1	ADP	_
mon	DETpos	mon1	DET	Poss=Yes
lit	NOMcom	lit1	NOUN	_
en	PRE	en1	ADP	_
une	DETndf	un	DET	PronType=Art|Definite=Ind
secrete	ADJqua	secré	ADJ	_
chamre	NOMcom	chambre1	NOUN	_
de	PRE	de	ADP	_
mon	DETpos	mon1	DET	Poss=Yes
hostel	NOMcom	ostel	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
Aucibiers	NOMpro	Aucibier	PROPN	_
s	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
an	PROadv	en2	ADV	_
est	VERcjg	estre1	VERB	VerbForm=Fin
garde	NOMcom	garde	NOUN	_
donés	VERppe	doner	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Adont	ADVgen	adonc	ADV	_
se	PROper	soi1	PRON	PronType=Prs
pence	VERcjg	penser	VERB	VerbForm=Fin
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
il	PROper	il	PRON	PronType=Prs
vient	VERcjg	venir	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
li	PROper	il	PRON	PronType=Prs
jouster	VERinf	joster	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
dont	ADVgen	donc	ADV	_
a	PRE	a3	ADP	_
sa	DETpos	son4	DET	Poss=Yes
gent	NOMcom	gent1	NOUN	_
hautement	ADVgen	hautement	ADV	_
apellet	VERcjg	apeler	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Veés	VERcjg	vëoir	VERB	VerbForm=Fin
vos	PROper	vos	PRON	PronType=Prs
.	PONfrt	.	PUNCT	_
i	PROcar	un	PRON	NumType=Card
.	PONfrt	.	PUNCT	_
qui	PROrel	qui	PRON	PronType=Rel
me	PROper	je	PRON	PronType=Prs
vient	VERcjg	venir	VERB	VerbForm=Fin
conreés	VERppe	conrëer	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
qui	PROrel	qui	PRON	PronType=Rel
sis	ADVgen	si	ADV	_
me	PROper	je	PRON	PronType=Prs
vient	VERcjg	venir	VERB	VerbForm=Fin
molt	ADVgen	mout	ADV	_
richement	ADVgen	richement	ADV	_
armés	VERppe	armer	VERB	VerbForm=Part|Tense=Past
?	PONfrt	?	PUNCT	_
Se	CONsub	se	SCONJ	_
il	PROper	il	PRON	PronType=Prs
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
ocit	VERcjg	ocire	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
arier	ADVgen	ariere	ADV	_
vous	PROper	vos	PRON	PronType=Prs
en	PROadv	en2	ADV	_
alés	VERcjg	aler	VERB	VerbForm=Fin
en	PRE	en1	ADP	_
celle	PROdem	cele	PRON	PronType=Dem
,	PONfbl	,	PUNCT	_
de	PRE	de	ADP	_
quoi	PROrel	coi2	PRON	PronType=Rel
chascuns	PROind	chascun	PRON	PronType=Ind
est	VERcjg	estre1	VERB	VerbForm=Fin
nés	VERppe	naistre	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
En	PRE	en1	ADP	_
cet	DETdem	cest	DET	PronType=Dem
païs	NOMcom	päis	NOUN	_
avriés	VERcjg	avoir	VERB	VerbForm=Fin
mal	ADVgen	mal1	ADV	_
demorer	NOMcom	demorer	NOUN	_
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Et	CONcoo	et	CCONJ	_
cil	PROdem	cel	PRON	PronType=Dem
respondent	VERcjg	respondre1	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
A	PRE	a3	ADP	_
vostre	DETpos	vostre	DET	Poss=Yes
volenté	NOMcom	volenté	NOUN	_
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Lors	ADVgen	lors	ADV	_
c	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
et	VERcjg	estre1	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
turs	NOMpro	Turc	PROPN	_
vers	PRE	vers2	ADP	_
B	ABR	B	X	Abbr=Yes
galopés	VERppe	galoper	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
il	PROper	il	PRON	PronType=Prs
vint	VERcjg	venir	VERB	VerbForm=Fin
pres	ADVgen	près	ADV	_
,	PONfbl	,	PUNCT	_
si	ADVgen	si	ADV	_
c	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
est	VERcjg	estre1	VERB	VerbForm=Fin
haus	ADVgen	haut	ADV	_
escriés	VERppe	escrïer	VERB	VerbForm=Part|Tense=Past
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Qui	PROint	qui	PRON	PronType=Int
iers	VERcjg	estre1	VERB	VerbForm=Fin
tu	PROper	tu	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
va	VERcjg	aler	VERB	VerbForm=Fin
!	PONfrt	!	PUNCT	_
Garde	NOMcom	garde	NOUN	_
me	PROper	je	PRON	PronType=Prs
celer	VERinf	celer1	VERB	VerbForm=Inf
?	PONfrt	?	PUNCT	_
Iers	VERcjg	estre1	VERB	VerbForm=Fin
tu	PROper	tu	PRON	PronType=Prs
messaiges	NOMcom	message2	NOUN	_
qui	PROrel	qui	PRON	PronType=Rel
viens	VERcjg	venir	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
moi	PROper	je	PRON	PronType=Prs
parler	VERinf	parler	VERB	VerbForm=Inf
?	PONfrt	?	PUNCT	_
»	PONfbl	»	PUNCT	_
Et	CONcoo	et	CCONJ	_
dist	VERcjg	dire	VERB	VerbForm=Fin
B	NOMpro	B	PROPN	_
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
ains	ADVgen	ainz	ADV	_
vains	VERcjg	venir	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
vous	PROper	vos	PRON	PronType=Prs
joster	VERinf	joster	VERB	VerbForm=Inf
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Li	DETdef	le	DET	PronType=Art|Definite=Def
paiens	NOMcom	paien	NOUN	_
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
oit	VERcjg	öir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
plus	ADVgen	plus	ADV	_
fu	VERcjg	estre1	VERB	VerbForm=Fin
fiers	ADJqua	fier	ADJ	_
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
un	DETndf	un	DET	PronType=Art|Definite=Ind
maffé	NOMcom	maufé	NOUN	_
.	PONfrt	.	PUNCT	_
Sa	DETpos	son4	DET	Poss=Yes
charité	NOMcom	charité	NOUN	_
,	PONfbl	,	PUNCT	_
sa	DETpos	son4	DET	Poss=Yes
fei	NOMcom	foi	NOUN	_
non	ADVneg	non	ADV	PronType=Neg
feinte	VERppe	feindre	VERB	VerbForm=Part|Tense=Past
ensement	ADVgen	ensement	ADV	_
od	PRE	o4	ADP	_
sa	DETpos	son4	DET	Poss=Yes
vie	NOMcom	vie1	NOUN	_
seinte	ADJqua	saint	ADJ	_
tot	PROind	tot	PRON	PronType=Ind
,	PONfbl	,	PUNCT	_
sanz	PRE	sans	ADP	_
lui	PROper	il	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
porent	VERcjg	pöoir	VERB	VerbForm=Fin
par	PRE	par	ADP	_
raison	NOMcom	raison	NOUN	_
confermer	VERinf	confermer	VERB	VerbForm=Inf
cele	DETdem	cel	DET	PronType=Dem
eslection	NOMcom	eleccïon	NOUN	_
.	PONfrt	.	PUNCT	_
En	PRE	en1	ADP	_
itel	DETind	itel	DET	PronType=Ind
guise	NOMcom	guise	NOUN	_
ert	VERcjg	estre1	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
serf	NOMcom	serf	NOUN	_
Dé	NOMpro	Dieu	PROPN	_
par	PRE	par	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
emperere	NOMcom	emperëor	NOUN	_
confermé	VERppe	confermer	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
mais	CONcoo	mais1	CCONJ	_
veirement	ADVgen	voirement	ADV	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
ert	VERcjg	estre1	VERB	VerbForm=Fin
pas	ADVneg	pas	ADV	PronType=Neg
tant	ADVgen	tant	ADV	_
dis	NOMcom	di	NOUN	_
choumant	VERppa	chomer	VERB	VerbForm=Part|Tense=Pres
ne	CONcoo	ne2	CCONJ	_
perreçous	ADJqua	pereços	ADJ	_
n	CONcoo	ne2	CCONJ	_
’	PONfbl	’	PUNCT	_
oisdis	ADJqua	oisdif	ADJ	_
;	PONfbl	;	PUNCT	_
car	CONcoo	car	CCONJ	_
entretant	ADVgen	entretant	ADV	_
com	CONsub	come1	SCONJ	_
atendoient	VERcjg	atendre	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
Romain	NOMpro	romain	PROPN	_
qui	PROrel	qui	PRON	PronType=Rel
molt	ADVgen	mout	ADV	_
desiroient	VERcjg	desirrer	VERB	VerbForm=Fin
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
assentement	NOMcom	assentement1	NOUN	_
de	PRE	de	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
emperere	NOMcom	emperëor	NOUN	_
,	PONfbl	,	PUNCT	_
e	CONcoo	et	CCONJ	_
la	DETdef	le	DET	PronType=Art|Definite=Def
pestilence	NOMcom	pestilence	NOUN	_
regiere	ADVgen	regieres	ADV	_
lu	DETdef	le	DET	PronType=Art|Definite=Def
poeple	NOMcom	pueple	NOUN	_
ocist	VERcjg	ocire	VERB	VerbForm=Fin
e	CONcoo	et	CCONJ	_
deguastot	VERcjg	degaster	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Gregoire	NOMpro	Gregoire	PROPN	_
,	PONfbl	,	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
serf	NOMcom	serf	NOUN	_
Deu	NOMpro	Dieu	PROPN	_
devot	ADJqua	devot	ADJ	_
,	PONfbl	,	PUNCT	_
trestoz	PROind	trestot	PRON	PronType=Ind
les	PROper	il	PRON	PronType=Prs
feseit	VERcjg	faire	VERB	VerbForm=Fin
assembler	VERinf	assembler	VERB	VerbForm=Inf
Henri	NOMpro	Henri	PROPN	_
fu	VERcjg	estre1	VERB	VerbForm=Fin
fiz	NOMcom	fil2	NOUN	_
Henri	NOMpro	Henri	PROPN	_
,	PONfbl	,	PUNCT	_
fiz	NOMcom	fil2	NOUN	_
sa	DETpos	son4	DET	Poss=Yes
fille	NOMcom	fille	NOUN	_
Mahaut	NOMpro	Mahaut	PROPN	_
,	PONfbl	,	PUNCT	_
empereiz	NOMcom	emperëor	NOUN	_
de	PRE	de	ADP	_
Romme	NOMpro	Rome	PROPN	_
,	PONfbl	,	PUNCT	_
ne	ADVneg	ne1	ADV	PronType=Neg
pout	VERcjg	pöoir	VERB	VerbForm=Fin
estre	VERinf	estre1	VERB	VerbForm=Inf
plus	ADVgen	plus	ADV	_
haut	ADJqua	haut	ADJ	_
.	PONfrt	.	PUNCT	_
Cil	PROdem	cel	PRON	PronType=Dem
fu	VERcjg	estre1	VERB	VerbForm=Fin
roiz	NOMcom	roi2	NOUN	_
moult	ADVgen	mout	ADV	_
puissant	ADJqua	poissant	ADJ	_
,	PONfbl	,	PUNCT	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
out	VERcjg	avoir	VERB	VerbForm=Fin
voisin	NOMcom	voisin	NOUN	_
tant	ADVgen	tant	ADV	_
plus	ADVgen	plus	ADV	_
haut	ADJqua	haut	ADJ	_
que	CONsub	que4	SCONJ	_
il	PROper	il	PRON	PronType=Prs
ne	ADVneg	ne1	ADV	PronType=Neg
li	PROper	il	PRON	PronType=Prs
feist	VERcjg	faire	VERB	VerbForm=Fin
s	CONsub	se	SCONJ	_
’	PONfbl	’	PUNCT	_
il	PROper	il	PRON	PronType=Prs
veusist	VERcjg	voloir	VERB	VerbForm=Fin
prendre	VERinf	prendre	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
